id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
78870,6,2024-08-24 13:40:56.964+00,5750,9734,-2698,8308,-13592,7694,1539,38.50434875488281
78875,6,2024-08-24 13:40:57.014+00,7562,15478,-11542,7946,2092,4742,6919,38.50434875488281
78880,6,2024-08-24 13:40:57.065+00,4202,11818,-5560,7201,-6959,-6703,9088,38.50434875488281
78885,6,2024-08-24 13:40:57.112+00,10884,6768,-5546,7636,2560,-8620,7254,38.50434875488281
78890,6,2024-08-24 13:40:57.162+00,9776,12828,-6694,8243,10,-314,2739,38.50434875488281
78895,6,2024-08-24 13:40:57.214+00,9142,8624,-7058,8328,594,-4056,-7818,38.50434875488281
78900,6,2024-08-24 13:40:57.264+00,10550,11316,-12200,7979,6876,-6576,-3315,38.50434875488281
78905,6,2024-08-24 13:40:57.315+00,10118,12928,-5736,8624,8603,2839,-7626,38.50434875488281
78910,6,2024-08-24 13:40:57.365+00,5942,7626,-8896,8911,5841,12403,-3539,38.50434875488281
78915,6,2024-08-24 13:40:57.415+00,6686,12618,-10186,7938,6969,9918,1076,38.50434875488281
78920,6,2024-08-24 13:40:57.464+00,9644,10684,-5926,7317,-8444,7909,5850,38.50434875488281
78925,6,2024-08-24 13:40:57.514+00,6678,8946,-11038,7718,-2249,8705,4188,38.50434875488281
78930,6,2024-08-24 13:40:57.564+00,8848,16762,-8612,9021,-6758,-8518,12160,38.50434875488281
78935,6,2024-08-24 13:40:57.615+00,12424,7808,-6006,7497,-3095,-8803,4837,38.50434875488281
78940,6,2024-08-24 13:40:57.665+00,12134,9330,-4714,8825,-7671,-8278,1958,38.50434875488281
78945,6,2024-08-24 13:40:57.715+00,7710,8672,-7424,6896,-4541,954,-8352,38.50434875488281
78950,6,2024-08-24 13:40:57.763+00,8830,9232,-6792,7991,-2619,-8638,-12507,38.50434875488281
78955,6,2024-08-24 13:40:57.814+00,12288,12644,-7100,8518,2953,-7069,-5148,38.50434875488281
78960,6,2024-08-24 13:40:57.864+00,8124,14336,-5230,8518,8234,7118,-7241,38.50434875488281
78963,6,2024-08-24 13:40:57.895+00,3930,6946,-8318,8419,4706,12087,-2948,38.50434875488281
78968,6,2024-08-24 13:40:57.945+00,5532,13150,-7610,9837,3741,3366,850,38.50434875488281
78973,6,2024-08-24 13:40:57.995+00,6622,13264,-7836,7538,-2567,2314,-209,38.50434875488281
78978,6,2024-08-24 13:40:58.046+00,8050,9590,-4656,9060,-6193,2042,4919,38.50434875488281
78983,6,2024-08-24 13:40:58.093+00,9898,16020,-9150,8288,2125,4655,17282,38.50434875488281
78988,6,2024-08-24 13:40:58.143+00,10832,11976,-10268,6160,-919,-12467,10785,38.50434875488281
78993,6,2024-08-24 13:40:58.195+00,14800,8412,-8456,8313,-8014,-7219,4382,38.50434875488281
78998,6,2024-08-24 13:40:58.245+00,5388,8556,-5738,8834,-4522,-8428,-12875,38.50434875488281
79003,6,2024-08-24 13:40:58.296+00,10202,10234,-8552,7024,-1899,-4966,-7204,38.50434875488281
