id,dogId,measureTime,ax,ay,az,bcg,gx,gy,gz,temperature
1136845,13,2024-08-24 20:48:59.777+00,-1300,-12572,-9782,8254,-297,187,-31,38.77138137817383
1136848,13,2024-08-24 20:48:59.807+00,-1316,-13094,-9144,8184,133,253,187,38.77138137817383
1136851,13,2024-08-24 20:48:59.837+00,-2194,-13594,-9376,8075,446,114,-379,38.77138137817383
1136854,13,2024-08-24 20:48:59.867+00,-1968,-13184,-8550,8029,182,-254,-24,38.77138137817383
1136857,13,2024-08-24 20:48:59.898+00,-1566,-13260,-8676,8124,-198,-1114,-80,38.77138137817383
1136860,13,2024-08-24 20:48:59.928+00,-1320,-13638,-8566,8165,-726,-15,146,38.77138137817383
1136863,13,2024-08-24 20:48:59.958+00,-1664,-13646,-9186,8180,-1149,728,350,38.77138137817383
1136866,13,2024-08-24 20:48:59.986+00,-1538,-13566,-8876,7984,-229,1138,-415,38.77138137817383
1136869,13,2024-08-24 20:49:00.016+00,-1880,-13890,-9664,8221,131,-165,205,38.77138137817383
1136872,13,2024-08-24 20:49:00.047+00,-1620,-12798,-9800,8096,-594,-290,34,38.77138137817383
1136875,13,2024-08-24 20:49:00.077+00,-1298,-12828,-9636,8186,-104,-598,-840,38.77138137817383
1136878,13,2024-08-24 20:49:00.107+00,-1466,-13344,-9326,8218,215,-847,139,38.77138137817383
1136881,13,2024-08-24 20:49:00.137+00,-1986,-13672,-9100,7948,638,-68,-263,38.77138137817383
1136884,13,2024-08-24 20:49:00.167+00,-1352,-12836,-8858,8111,379,-855,-186,38.77138137817383
1136887,13,2024-08-24 20:49:00.198+00,-1068,-13800,-8674,8152,-157,-197,-270,38.77138137817383
1136890,13,2024-08-24 20:49:00.228+00,-1364,-13626,-8908,8144,-310,1097,517,38.77138137817383
1136893,13,2024-08-24 20:49:00.258+00,-1828,-13166,-8928,8125,-169,1664,324,38.77138137817383
1136896,13,2024-08-24 20:49:00.288+00,-1438,-13686,-9830,8113,266,472,172,38.77138137817383
1136609,13,2024-08-24 20:48:57.394+00,-1856,-13758,-8036,7794,-1511,-17690,-5654,38.77138137817383
1136612,13,2024-08-24 20:48:57.424+00,-1832,-13622,-7906,8451,-586,-22201,-4072,38.77138137817383
1136615,13,2024-08-24 20:48:57.454+00,-3072,-13602,-4486,9007,-1354,-27343,-3645,38.77138137817383
1136618,13,2024-08-24 20:48:57.484+00,-6152,-12144,-5084,8529,-5794,-26644,-5148,38.77138137817383
1136621,13,2024-08-24 20:48:57.515+00,-7114,-13170,-7106,8149,-7815,-25929,-7061,38.77138137817383
1136624,13,2024-08-24 20:48:57.545+00,-3554,-14770,-8056,7347,-7743,-19825,-7903,38.77138137817383
1136627,13,2024-08-24 20:48:57.575+00,-1912,-14586,-7266,7744,-6474,-11334,-8915,38.77138137817383
1136630,13,2024-08-24 20:48:57.605+00,-2590,-13846,-7640,8117,-4275,-5993,-7951,38.75802993774414
1136633,13,2024-08-24 20:48:57.644+00,-3158,-13768,-7540,8473,-3387,-8862,-5909,38.75802993774414
1136636,13,2024-08-24 20:48:57.674+00,-3788,-14722,-6512,8526,-2407,-10049,-4120,38.75802993774414
1136639,13,2024-08-24 20:48:57.704+00,-1016,-14274,-8022,7524,-2233,-4000,-3568,38.75802993774414
1136642,13,2024-08-24 20:48:57.734+00,-1548,-14374,-7624,8467,-3872,-1920,-3246,38.75802993774414
1136645,13,2024-08-24 20:48:57.764+00,-2882,-16380,-9434,8865,-238,-543,-1168,38.75802993774414
1136648,13,2024-08-24 20:48:57.795+00,-3496,-16322,-8794,8676,3318,4560,785,38.75802993774414
1136651,13,2024-08-24 20:48:57.825+00,-2548,-16266,-5718,8430,7432,17253,1178,38.75802993774414
1136654,13,2024-08-24 20:48:57.855+00,-608,-14884,-7028,7435,6612,30634,3801,38.75802993774414
1136657,13,2024-08-24 20:48:57.885+00,884,-13404,-7312,6608,4939,32767,4288,38.75802993774414
1136660,13,2024-08-24 20:48:57.915+00,4198,-14770,-6916,7322,5975,23887,9978,38.75802993774414
1136663,13,2024-08-24 20:48:57.946+00,6952,-12492,-6530,7495,5699,25923,15594,38.75802993774414
1136666,13,2024-08-24 20:48:57.976+00,5454,-11968,-5966,8183,1905,29415,17409,38.75802993774414
1136669,13,2024-08-24 20:48:58.004+00,1282,-11008,-7608,7840,-2379,32767,19624,38.75802993774414
1136672,13,2024-08-24 20:48:58.034+00,-3336,-11778,-10744,8209,-7110,26749,18545,38.75802993774414
1136675,13,2024-08-24 20:48:58.065+00,-5672,-15538,-9996,9009,-5163,17204,15724,38.75802993774414
1136678,13,2024-08-24 20:48:58.095+00,-4294,-15336,-11594,7481,-1666,15323,9356,38.75802993774414
