id,sequenceId,measureTime,heart,respiration
47123,169,2024-08-24 12:54:03.76+00,3.0889900618887656,8109.355599867505
47125,169,2024-08-24 12:54:03.778+00,-61.372519481017825,8102.70271905117
47127,169,2024-08-24 12:54:03.798+00,-105.46254216808065,8095.8878752585515
47129,169,2024-08-24 12:54:03.818+00,69.17903319862586,8088.925198445155
47131,169,2024-08-24 12:54:03.838+00,173.89528910058903,8081.830295268381
47133,169,2024-08-24 12:54:03.859+00,18.00873957566137,8074.620235115789
47135,169,2024-08-24 12:54:03.879+00,-106.71676651755337,8067.313525563199
47137,169,2024-08-24 12:54:03.899+00,-29.98997616257585,8059.93007746864
47139,169,2024-08-24 12:54:03.919+00,61.71957950169336,8052.491160015825
46870,168,2024-08-24 15:53:28.863+00,-2.812470631775912,8175.421091715255
46872,168,2024-08-24 15:53:28.883+00,-9.622902149659225,8174.317795974227
46874,168,2024-08-24 15:53:28.904+00,8.803747032597744,8173.170673710086
46876,168,2024-08-24 15:53:28.924+00,17.823692447907828,8171.9811836742065
46878,168,2024-08-24 15:53:28.944+00,0.9600791640234001,8170.7509790843
46880,168,2024-08-24 15:53:28.962+00,-24.304241852075037,8169.481921580801
46882,168,2024-08-24 15:53:28.982+00,-15.541469823350749,8168.176095089216
46884,168,2024-08-24 15:53:29.002+00,18.945170863344455,8166.835819363083
